metric,value
Number of Orders,9215.0
Total Units,29513315.0
Total Weight,183117.6
Unique Products,772.0
Unique Customers,46.0
Unique Plants,7.0
Unique Carriers,3.0
Average Transit Time,1.72
Average Late Days,0.04
